Payment Attempted On,Payment Successful On,Payment ID,Transaction ID,Issuer/Scheme,National/International,TSP Charges,Convenience Fee,CGST,SGST,IGST
'2020-07-10 17:19:52.0,'2020-07-10 17:26:58.0,335367296,432786,CC,National,0.0,191.73,0.0,0.0,0.0
'2020-07-10 17:08:35.0,'2020-07-10 17:09:49.0,335363358,432777,HDFB,,0.0,175.22,0.0,0.0,0.0
'2020-07-10 17:03:09.0,'2020-07-10 17:03:59.0,335361718,432774,HDFB,,0.0,176.59,0.0,0.0,0.0
'2020-07-10 16:18:51.0,'2020-07-10 16:22:07.0,335348856,432728,CC,National,0.0,191.96,0.0,0.0,0.0
'2020-07-10 16:12:47.0,'2020-07-10 16:14:54.0,335347144,432723,CUBB,,0.0,169.53,0.0,0.0,0.0
'2020-07-10 15:46:23.0,'2020-07-10 15:48:19.0,335339519,432707,PHONEPE,,0.0,136.0,0.0,0.0,0.0
'2020-07-10 15:21:33.0,'2020-07-10 15:24:55.0,335331570,432691,VISA,National,0.0,101.5,0.0,0.0,0.0
'2020-07-10 14:57:35.0,'2020-07-10 14:58:35.0,335323499,432683,162B,,0.0,44.49,0.0,0.0,0.0
'2020-07-10 14:55:53.0,'2020-07-10 14:59:21.0,335322917,432682,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 14:51:51.0,'2020-07-10 14:53:27.0,335321612,432680,CC,National,0.0,194.94,0.0,0.0,0.0
'2020-07-10 14:40:11.0,'2020-07-10 14:41:28.0,335317736,432673,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 14:39:30.0,'2020-07-10 14:43:02.0,335317417,432672,PAYTM,,0.0,175.22,0.0,0.0,0.0
'2020-07-10 14:38:10.0,'2020-07-10 14:39:05.0,335316966,432671,CC,National,0.0,36.41,0.0,0.0,0.0
'2020-07-10 14:21:52.0,'2020-07-10 14:26:17.0,335311399,432666,VISA,National,0.0,40.48,0.0,0.0,0.0
'2020-07-10 14:16:12.0,'2020-07-10 14:18:47.0,335309471,432663,CC,National,0.0,113.29,0.0,0.0,0.0
'2020-07-10 14:09:16.0,'2020-07-10 14:10:53.0,335307210,432659,ICIB,,0.0,95.64,0.0,0.0,0.0
'2020-07-10 14:02:59.0,'2020-07-10 14:07:22.0,335305389,432657,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-10 13:49:08.0,'2020-07-10 13:51:55.0,335300849,432653,ICIB,,0.0,175.22,0.0,0.0,0.0
'2020-07-10 13:33:38.0,'2020-07-10 13:37:40.0,335295004,432648,CRPB,,0.0,181.33,0.0,0.0,0.0
'2020-07-10 12:46:33.0,'2020-07-10 12:47:22.0,335277753,432622,CC,National,0.0,175.22,0.0,0.0,0.0
'2020-07-10 12:42:47.0,'2020-07-10 12:44:51.0,335276293,432621,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-10 12:31:43.0,'2020-07-10 12:33:52.0,335271893,432618,MAST,National,0.0,99.95,0.0,0.0,0.0
'2020-07-10 12:29:10.0,'2020-07-10 12:30:30.0,335270840,432617,VISA,National,0.0,97.08,0.0,0.0,0.0
'2020-07-10 12:25:32.0,'2020-07-10 12:26:37.0,335269378,432616,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 12:25:13.0,'2020-07-10 12:29:59.0,335269261,432615,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 12:12:45.0,'2020-07-10 12:14:27.0,335264715,432609,SBIB,,0.0,175.22,0.0,0.0,0.0
'2020-07-10 12:02:07.0,'2020-07-10 12:06:58.0,335260549,432601,MAST,National,0.0,66.39,0.0,0.0,0.0
'2020-07-10 11:55:57.0,'2020-07-10 11:57:08.0,335258181,432598,CC,National,0.0,122.93,0.0,0.0,0.0
'2020-07-10 11:51:34.0,'2020-07-10 11:52:55.0,335256557,432597,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-10 11:08:48.0,'2020-07-10 11:11:27.0,335240281,432566,VISA,National,0.0,87.29,0.0,0.0,0.0
'2020-07-10 10:59:26.0,'2020-07-10 11:02:47.0,335236961,432564,MAST,National,0.0,38.09,0.0,0.0,0.0
'2020-07-10 10:13:02.0,'2020-07-10 10:14:25.0,335220913,432542,HDFB,,0.0,64.9,0.0,0.0,0.0
'2020-07-10 10:12:51.0,'2020-07-10 10:14:23.0,335220854,432539,AXIB,,0.0,88.98,0.0,0.0,0.0
'2020-07-10 10:12:43.0,'2020-07-10 10:14:16.0,335220822,432540,VISA,National,0.0,95.29,0.0,0.0,0.0
'2020-07-10 09:44:02.0,'2020-07-10 09:45:42.0,335212400,432530,162B,,0.0,77.75,0.0,0.0,0.0
'2020-07-10 09:28:29.0,'2020-07-10 09:30:40.0,335207580,432528,ICIB,,0.0,93.34,0.0,0.0,0.0
'2020-07-10 08:58:05.0,'2020-07-10 09:00:03.0,335200767,432527,SBIB,,0.0,122.93,0.0,0.0,0.0
'2020-07-10 08:30:57.0,'2020-07-10 08:33:58.0,335194627,432525,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 08:14:35.0,'2020-07-10 08:17:32.0,335191100,432524,MAST,National,0.0,24.48,0.0,0.0,0.0
'2020-07-10 07:51:25.0,'2020-07-10 08:11:29.0,335187311,432523,VISA,National,0.0,74.15,0.0,0.0,0.0
'2020-07-10 03:27:19.0,'2020-07-10 03:29:05.0,335174319,432522,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-10 00:39:39.0,'2020-07-10 00:44:30.0,335167518,432520,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 23:45:26.0,'2020-07-09 23:49:46.0,335162126,432519,MAST,National,0.0,48.6,0.0,0.0,0.0
'2020-07-09 23:02:05.0,'2020-07-09 23:06:19.0,335155303,432517,CC,National,0.0,176.59,0.0,0.0,0.0
'2020-07-09 22:46:40.0,'2020-07-09 22:49:17.0,335152365,432515,VISA,National,0.0,99.95,0.0,0.0,0.0
'2020-07-09 22:45:31.0,'2020-07-09 22:47:38.0,335152150,432514,VISA,National,0.0,96.0,0.0,0.0,0.0
'2020-07-09 22:38:54.0,'2020-07-09 22:41:43.0,335150522,432512,162B,,0.0,153.66,0.0,0.0,0.0
'2020-07-09 22:30:26.0,'2020-07-09 22:33:49.0,335148689,432507,VISA,National,0.0,50.99,0.0,0.0,0.0
'2020-07-09 22:29:45.0,'2020-07-09 22:30:54.0,335148472,432510,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 22:28:00.0,'2020-07-09 22:31:19.0,335148093,432509,PHONEPE,,0.0,183.01,0.0,0.0,0.0
'2020-07-09 22:15:23.0,'2020-07-09 22:17:11.0,335145315,432506,HDFB,,0.0,194.94,0.0,0.0,0.0
'2020-07-09 22:11:33.0,'2020-07-09 22:13:48.0,335144461,432505,162B,,0.0,135.77,0.0,0.0,0.0
'2020-07-09 22:07:14.0,'2020-07-09 22:12:18.0,335143373,432504,CC,National,0.0,191.73,0.0,0.0,0.0
'2020-07-09 22:05:36.0,'2020-07-09 22:12:43.0,335143008,432503,CABB,,0.0,171.42,0.0,0.0,0.0
'2020-07-09 21:58:54.0,'2020-07-09 22:01:24.0,335141392,432499,ICIB,,0.0,122.93,0.0,0.0,0.0
'2020-07-09 21:39:08.0,'2020-07-09 21:42:14.0,335136905,432497,ICIB,,0.0,183.01,0.0,0.0,0.0
'2020-07-09 21:37:44.0,'2020-07-09 21:39:47.0,335136523,432496,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 21:33:50.0,'2020-07-09 21:35:13.0,335135511,432495,CC,National,0.0,191.73,0.0,0.0,0.0
'2020-07-09 21:01:21.0,'2020-07-09 21:03:20.0,335127154,432494,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 20:30:37.0,'2020-07-09 20:32:31.0,335118311,432490,CC,National,0.0,194.94,0.0,0.0,0.0
'2020-07-09 20:03:09.0,'2020-07-09 20:04:11.0,335110761,432487,ICIB,,0.0,92.88,0.0,0.0,0.0
'2020-07-09 19:49:18.0,'2020-07-09 19:51:02.0,335106707,432482,ICIB,,0.0,170.17,0.0,0.0,0.0
'2020-07-09 19:32:08.0,'2020-07-09 19:34:22.0,335101591,432479,ICIB,,0.0,170.17,0.0,0.0,0.0
'2020-07-09 19:28:57.0,'2020-07-09 19:30:07.0,335100638,432478,HDFB,,0.0,170.17,0.0,0.0,0.0
'2020-07-09 19:25:00.0,'2020-07-09 19:26:34.0,335099506,432477,VISA,National,0.0,53.5,0.0,0.0,0.0
'2020-07-09 19:16:09.0,'2020-07-09 19:21:45.0,335096872,432474,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 19:13:59.0,'2020-07-09 19:17:24.0,335096234,432473,CC,National,0.0,191.96,0.0,0.0,0.0
'2020-07-09 19:10:20.0,'2020-07-09 19:13:08.0,335095242,432472,HDFB,,0.0,183.01,0.0,0.0,0.0
'2020-07-09 19:08:57.0,'2020-07-09 19:19:31.0,335094783,432470,VISA,National,0.0,53.5,0.0,0.0,0.0
'2020-07-09 19:07:15.0,'2020-07-09 19:10:07.0,335094305,432469,SBIB,,0.0,93.34,0.0,0.0,0.0
'2020-07-09 18:25:05.0,'2020-07-09 18:28:15.0,335082386,432466,VISA,National,0.0,99.95,0.0,0.0,0.0
'2020-07-09 17:59:18.0,'2020-07-09 18:02:29.0,335074343,432448,CC,National,0.0,113.07,0.0,0.0,0.0
'2020-07-09 17:42:38.0,'2020-07-09 17:43:48.0,335069778,432432,HDFB,,0.0,124.53,0.0,0.0,0.0
'2020-07-09 17:32:49.0,'2020-07-09 17:34:46.0,335066852,432423,HDFB,,0.0,141.96,0.0,0.0,0.0
'2020-07-09 17:23:20.0,'2020-07-09 17:24:22.0,335063840,432417,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 16:54:16.0,'2020-07-09 16:56:20.0,335054974,432398,SBIB,,0.0,191.96,0.0,0.0,0.0
'2020-07-09 16:53:41.0,'2020-07-09 16:54:56.0,335054807,432397,HDFB,,0.0,102.75,0.0,0.0,0.0
'2020-07-09 16:50:32.0,'2020-07-09 16:52:11.0,335053874,432392,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 16:48:03.0,'2020-07-09 16:49:14.0,335053075,432389,SBIB,,0.0,191.96,0.0,0.0,0.0
'2020-07-09 16:46:26.0,'2020-07-09 16:47:33.0,335052584,432388,162B,,0.0,170.17,0.0,0.0,0.0
'2020-07-09 16:45:23.0,'2020-07-09 16:46:25.0,335052305,432385,HDFB,,0.0,143.34,0.0,0.0,0.0
'2020-07-09 16:36:18.0,'2020-07-09 16:37:13.0,335049537,432381,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-09 16:23:21.0,'2020-07-09 16:25:22.0,335045590,432375,PHONEPE,,0.0,95.64,0.0,0.0,0.0
'2020-07-09 16:21:52.0,'2020-07-09 16:23:08.0,335045189,432374,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 16:13:05.0,'2020-07-09 16:18:52.0,335042421,432368,PHONEPE,,0.0,122.93,0.0,0.0,0.0
'2020-07-09 15:57:33.0,'2020-07-09 15:59:49.0,335037831,432355,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 15:57:32.0,'2020-07-09 15:58:26.0,335037826,432356,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 15:52:15.0,'2020-07-09 15:57:06.0,335036287,432352,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 15:49:52.0,'2020-07-09 15:51:48.0,335035570,432349,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 15:33:19.0,'2020-07-09 15:35:14.0,335030591,432339,CC,National,0.0,36.41,0.0,0.0,0.0
'2020-07-09 15:20:49.0,'2020-07-09 15:21:53.0,335026788,432335,CC,National,0.0,92.88,0.0,0.0,0.0
'2020-07-09 15:12:15.0,'2020-07-09 15:14:15.0,335024115,432332,CC,National,0.0,184.39,0.0,0.0,0.0
'2020-07-09 15:07:54.0,'2020-07-09 15:12:40.0,335022718,432328,SYNDB,,0.0,156.45,0.0,0.0,0.0
'2020-07-09 15:05:28.0,'2020-07-09 15:09:46.0,335022017,432324,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 15:04:36.0,'2020-07-09 15:05:25.0,335021725,432322,CC,National,0.0,175.22,0.0,0.0,0.0
'2020-07-09 15:01:23.0,'2020-07-09 15:02:29.0,335020830,432318,CC,National,0.0,176.59,0.0,0.0,0.0
'2020-07-09 15:01:21.0,'2020-07-09 15:03:35.0,335020817,432317,SBIB,,0.0,88.98,0.0,0.0,0.0
'2020-07-09 14:59:05.0,'2020-07-09 15:00:58.0,335020066,432314,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 14:55:32.0,'2020-07-09 14:56:47.0,335019077,432308,CC,National,0.0,176.59,0.0,0.0,0.0
'2020-07-09 14:54:43.0,'2020-07-09 14:58:35.0,335018843,432307,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 14:44:17.0,'2020-07-09 14:46:26.0,335015625,432297,CC,National,0.0,170.17,0.0,0.0,0.0
'2020-07-09 14:24:12.0,'2020-07-09 14:26:46.0,335009686,432282,VISA,National,0.0,99.95,0.0,0.0,0.0
'2020-07-09 14:17:34.0,'2020-07-09 14:18:46.0,335007609,432279,HDFB,,0.0,83.02,0.0,0.0,0.0
'2020-07-09 14:16:45.0,'2020-07-09 14:29:42.0,335007390,432278,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-09 14:01:57.0,'2020-07-09 14:03:50.0,335002890,432275,162B,,0.0,93.34,0.0,0.0,0.0
'2020-07-09 14:01:33.0,'2020-07-09 14:09:01.0,335002773,432274,VISA,National,0.0,91.23,0.0,0.0,0.0
'2020-07-09 13:55:06.0,'2020-07-09 13:56:57.0,335000717,432271,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 13:43:30.0,'2020-07-09 13:44:35.0,334997094,432267,VISA,National,0.0,41.67,0.0,0.0,0.0
'2020-07-09 13:42:55.0,'2020-07-09 13:43:55.0,334996927,432265,CC,National,0.0,181.18,0.0,0.0,0.0
'2020-07-09 13:42:12.0,'2020-07-09 13:43:53.0,334996761,432263,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-09 13:35:24.0,'2020-07-09 13:38:39.0,334994778,432258,CC,National,0.0,109.17,0.0,0.0,0.0
'2020-07-09 13:34:43.0,'2020-07-09 13:36:04.0,334994601,432255,SBIB,,0.0,92.88,0.0,0.0,0.0
'2020-07-09 13:30:34.0,'2020-07-09 13:32:16.0,334993419,432252,SBIB,,0.0,176.59,0.0,0.0,0.0
'2020-07-09 13:25:34.0,'2020-07-09 13:28:16.0,334991886,432249,SBIB,,0.0,186.45,0.0,0.0,0.0
'2020-07-09 13:18:41.0,'2020-07-09 13:21:37.0,334989664,432244,SBIB,,0.0,43.12,0.0,0.0,0.0
'2020-07-09 13:16:03.0,'2020-07-09 13:17:53.0,334988844,432241,MAST,National,0.0,91.94,0.0,0.0,0.0
'2020-07-09 13:13:17.0,'2020-07-09 13:16:24.0,334988045,432238,CC,National,0.0,101.14,0.0,0.0,0.0
'2020-07-09 13:09:39.0,'2020-07-09 13:13:05.0,334986805,432234,HDFB,,0.0,176.59,0.0,0.0,0.0
'2020-07-09 12:56:32.0,'2020-07-09 13:01:19.0,334982304,432223,CC,National,0.0,191.73,0.0,0.0,0.0
'2020-07-09 12:53:41.0,'2020-07-09 12:55:52.0,334981361,432221,CC,National,0.0,186.45,0.0,0.0,0.0
'2020-07-09 12:40:46.0,'2020-07-09 12:42:48.0,334976850,432212,SBIB,,0.0,92.88,0.0,0.0,0.0
'2020-07-09 12:22:25.0,'2020-07-09 12:25:03.0,334970078,432199,CC,National,0.0,37.57,0.0,0.0,0.0
'2020-07-09 12:14:52.0,'2020-07-09 12:15:42.0,334967399,432190,HDFB,,0.0,92.88,0.0,0.0,0.0
'2020-07-09 12:07:30.0,'2020-07-09 12:08:04.0,334964731,432176,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 12:07:03.0,'2020-07-09 12:09:40.0,334964594,432173,VISA,National,0.0,75.59,0.0,0.0,0.0
'2020-07-09 12:01:34.0,'2020-07-09 12:02:34.0,334962155,432170,MAST,National,0.0,48.6,0.0,0.0,0.0
'2020-07-09 12:00:15.0,'2020-07-09 12:01:44.0,334961714,432166,HDFB,,0.0,170.17,0.0,0.0,0.0
'2020-07-09 12:00:01.0,'2020-07-09 12:05:21.0,334961576,432167,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 11:45:46.0,'2020-07-09 11:46:55.0,334956735,432153,HDFB,,0.0,176.59,0.0,0.0,0.0
'2020-07-09 11:45:16.0,'2020-07-09 11:46:22.0,334956539,432151,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 11:38:33.0,'2020-07-09 11:39:42.0,334954119,432149,VISA,National,0.0,80.72,0.0,0.0,0.0
'2020-07-09 11:32:14.0,'2020-07-09 11:42:22.0,334951981,432147,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-09 11:26:11.0,'2020-07-09 11:33:30.0,334949877,432143,CC,National,0.0,186.45,0.0,0.0,0.0
'2020-07-09 11:23:16.0,'2020-07-09 11:24:18.0,334948916,432141,SBIB,,0.0,97.24,0.0,0.0,0.0
'2020-07-09 11:13:05.0,'2020-07-09 11:14:51.0,334945351,432134,MAST,National,0.0,42.39,0.0,0.0,0.0
'2020-07-09 10:50:57.0,'2020-07-09 10:53:01.0,334937790,432123,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 10:46:29.0,'2020-07-09 10:47:48.0,334936178,432119,MAST,National,0.0,41.08,0.0,0.0,0.0
'2020-07-09 10:43:00.0,'2020-07-09 10:47:57.0,334935036,432117,VISA,National,0.0,96.0,0.0,0.0,0.0
'2020-07-09 10:26:54.0,'2020-07-09 10:27:49.0,334929870,432095,CC,National,0.0,191.73,0.0,0.0,0.0
'2020-07-09 10:23:43.0,'2020-07-09 10:24:53.0,334928874,432092,CC,National,0.0,184.39,0.0,0.0,0.0
'2020-07-09 10:13:45.0,'2020-07-09 10:17:05.0,334925856,432072,CC,National,0.0,175.22,0.0,0.0,0.0
'2020-07-09 09:37:48.0,'2020-07-09 09:40:32.0,334915663,432041,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-09 09:36:32.0,'2020-07-09 09:38:45.0,334915335,432040,ICIB,,0.0,92.88,0.0,0.0,0.0
'2020-07-09 09:29:33.0,'2020-07-09 09:30:55.0,334913491,432039,VISA,National,0.0,91.94,0.0,0.0,0.0
'2020-07-09 09:27:45.0,'2020-07-09 09:29:48.0,334913078,432038,LVRB,,0.0,71.48,0.0,0.0,0.0
